SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,Yes,No,-1.2774445836787656,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,-1.1603229160349193,-0.9942419353101233,No
0,No,No,0.06632741908223598,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,-0.2596289419448806,-0.17324412574959375,No
0,No,No,-1.2367242199587352,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,-0.3626603559551803,-0.9596740712020441,Yes
0,No,No,0.5142514200025698,No,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),-0.7465354629935549,-0.19476626336477718,No
0,No,No,-1.2367242199587352,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.19736523310080326,-0.9404697022531111,Yes
0,No,No,-0.9924020376385531,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.1595456961969886,-0.6451859741727949,Yes
0,No,Yes,-0.4223169455581282,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),0.8089065291619363,-0.14679948896704018,No
0,No,No,-0.9109613101984924,No,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,-1.1636465100352518,-0.8741373704237511,No
0,Yes,No,-0.1779947632379461,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,1.330710787214099,0.3373492744317471,Yes
0,No,Yes,1.2064976032430856,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),-0.28621769394753876,0.5324391741681479,No
0,Yes,Yes,-0.7888002190384014,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,-0.4922805219681379,-0.7480728289670203,No
0,No,No,-0.6666391278783103,Yes,No,No,No,No,No,No,No internet service,No,Two year,No,Credit card (automatic),-1.5225946620711341,-0.8631445247495343,No
0,Yes,No,1.0436161483629645,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),1.182810854199314,1.5006704790038297,No
0,No,No,0.6771328748826912,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),1.2941512532104444,1.2160043388136705,Yes
0,No,No,-0.30015585439803716,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,1.3539759452164248,0.1784165658888543,No
0,Yes,Yes,1.4915401492832983,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),1.611554480242174,2.478128710529918,No
0,No,No,0.7992939660427822,Yes,No,No,No,No,No,No,No internet service,No,One year,No,Mailed check,-1.4660935640654862,-0.5558083996047153,No
0,No,Yes,1.5729808767233588,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),1.393859073220412,2.251693748830891,No
0,Yes,Yes,-0.9109613101984924,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),-0.31779183695069496,-0.774164281952812,Yes
0,No,No,-0.46303730927815856,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,0.8404806721650927,-0.18498748699192968,No
1,No,No,-1.2774445836787656,No,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,-0.8346107040023594,-0.9899154337997889,Yes
0,Yes,No,-0.8295205827584317,Yes,No,No,No,No,No,No,No internet service,No,One year,No,Bank transfer (automatic),-1.4943441130683104,-0.9181308271079157,No
0,No,No,-1.2774445836787656,Yes,No,No,No,No,No,No,No internet service,No,Month-to-month,No,Mailed check,-1.4827115340671475,-0.9985242888458623,Yes
0,Yes,No,1.0436161483629645,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),-0.1615829189350795,0.5400105518112329,No
0,Yes,Yes,0.6771328748826912,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),-0.17155370093607614,0.30390718367584674,No
0,No,No,-0.0965540357978854,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),-0.31446824295036285,-0.3316912065719389,No
0,Yes,Yes,0.5956921474426305,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.1495749141959914,1.0892334297634156,Yes
0,Yes,Yes,-1.2774445836787656,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,-1.1486903370337564,-0.9940874173990399,Yes
0,Yes,No,1.6137012404433893,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),0.8471278601657574,1.804563062130219,No
0,No,Yes,-0.62591876415828,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,-0.0020504069191315333,-0.5248385954261489,Yes
1,Yes,No,1.5729808767233588,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),1.0498670941860242,1.9800512611463297,No
1,Yes,No,-1.2367242199587352,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),1.0216165451832002,-0.9272253098745368,No
0,Yes,Yes,-0.21871512695797646,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,0.046141706085686136,-0.17988839592617856,No
0,No,No,-1.2774445836787656,Yes,No,No,No,No,No,No,No internet service,No,Month-to-month,No,Bank transfer (automatic),-1.481049737066981,-0.9985022148585647,No
1,No,No,-1.2774445836787656,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),-0.6484894399837535,-0.9874431472224551,No
0,Yes,Yes,1.6137012404433893,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),1.1678546811978192,2.1940585679967946,No
0,No,No,-1.1145631287986442,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.16412929309748078,-0.8675151742344638,Yes
0,No,No,0.5549717837226001,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),0.33363258711442517,0.5590824768363802,No
0,No,No,0.06632741908223598,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.3822264942192488,0.559501882595035,Yes
0,No,No,-0.8702409464784621,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),1.099721004191008,-0.5194083945509333,Yes
0,Yes,Yes,-0.9109613101984924,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,-0.5055748979694671,-0.79740819057721,No
0,Yes,Yes,1.5322605130033284,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),0.14751132309581955,1.1436237344647615,No
0,Yes,Yes,-0.62591876415828,Yes,No,No,No,No,No,No,No internet service,No,One year,No,Mailed check,-1.462769970065154,-0.82277120198218,No
0,No,No,1.247217966963116,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),0.5014740841312035,1.1388116052338793,No
0,Yes,No,-0.7888002190384014,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,0.3801629031190768,-0.5741298090617433,No
0,No,No,0.6771328748826912,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,0.6560212051466532,0.7173088177857488,No
0,No,No,-1.2367242199587352,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,-0.5155456799704636,-0.9645965703694143,No
0,No,No,-1.2367242199587352,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,0.5280628361338618,-0.9437808003477547,Yes
0,No,No,0.7992939660427822,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),0.4981504901308714,0.8546531667515656,No
0,Yes,Yes,1.4915401492832983,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),-0.020330173920958795,0.8706788815296407,No
1,No,No,0.43281069256250915,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,0.8471278601657574,0.687310269048278,No
0,No,No,-0.7073594915983407,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),1.141265929195161,-0.3776933961001872,Yes
1,Yes,No,-0.30015585439803716,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),0.1574821050968162,-0.23366062898319062,No
1,Yes,No,-0.9924020376385531,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),0.5280628361338618,-0.7278309826150992,Yes
